order_id,paymentTypeId,paymentName,amount,currency,insertDate
260697145,2,Kredi Kartı,404.9,TRY,2025-01-30T20:40:13.797
260697585,90,Trendyol Online,550.91,TRY,2025-01-30T20:51:38.82
260697591,90,Trendyol Online,1042.22,TRY,2025-01-30T20:51:39.86
260697852,91,Pluxee (Sodexo) Pass Mobil,1007.7,TRY,2025-01-30T20:51:40.687
260698931,33,Getir Online,389.9,TRY,2025-01-30T20:51:43.4
260700075,2,Kredi Kartı,856.54,TRY,2025-01-30T20:09:10.887
260700832,1,Nakit,900.0,TRY,2025-01-30T20:14:44.397
260701966,90,Trendyol Online,1298.73,TRY,2025-01-30T20:25:04.597
260702022,2,Kredi Kartı,403.66,TRY,2025-01-30T20:25:03.773
260703652,90,Trendyol Online,376.41,TRY,2025-01-30T20:51:44.993
260705122,2,Kredi Kartı,826.79,TRY,2025-01-30T20:12:54.34
260707075,29,YS Online,403.66,TRY,2025-01-30T20:25:06.1
260709481,33,Getir Online,879.7,TRY,2025-01-30T20:25:06.953
260709842,2,Kredi Kartı,539.7,TRY,2025-01-30T20:40:14.25
260710530,2,Kredi Kartı,697.2,TRY,2025-01-30T20:25:19.12
260713017,91,Pluxee (Sodexo) Pass Mobil,396.9,TRY,2025-01-30T20:34:46.783
260713315,29,YS Online,651.78,TRY,2025-01-30T20:51:45.743
260713844,29,YS Online,620.41,TRY,2025-01-30T20:40:16.47
260715788,90,Trendyol Online,396.41,TRY,2025-01-30T20:34:48.71
260716140,29,YS Online,1852.66,TRY,2025-01-30T20:51:47.383
260717943,33,Getir Online,389.9,TRY,2025-01-30T20:51:48.84
260718604,1,Nakit,359.9,TRY,2025-01-30T20:51:49.54
260719071,29,YS Online,280.24,TRY,2025-01-30T20:33:40.907
260719876,90,Trendyol Online,1388.98,TRY,2025-01-30T20:51:53.317
260723216,29,YS Online,403.66,TRY,2025-01-30T21:04:33.377
260725699,29,YS Online,410.57,TRY,2025-01-30T20:51:51.917
260727788,90,Trendyol Online,429.66,TRY,2025-01-30T21:20:25.207
260727853,33,Getir Online,389.9,TRY,2025-01-30T21:20:26.23
260730457,33,Getir Online,879.7,TRY,2025-01-30T21:20:27.353
260730606,33,Getir Online,799.7,TRY,2025-01-30T21:20:28.453
260731022,90,Trendyol Online,402.11,TRY,2025-01-30T21:41:50.163
260731652,2,Kredi Kartı,709.5,TRY,2025-01-30T20:45:56.927
260732230,2,Kredi Kartı,531.92,TRY,2025-01-30T21:21:56.89
260735497,41,Pluxee (Sodexo) Online,842.8,TRY,2025-01-30T21:41:48.93
260735506,2,Kredi Kartı,389.9,TRY,2025-01-30T21:27:24.49
260735636,29,YS Online,1661.41,TRY,2025-01-30T21:41:52.217
260735719,2,Kredi Kartı,1733.75,TRY,2025-01-30T21:41:46.047
260735792,90,Trendyol Online,429.66,TRY,2025-01-30T21:32:14.56
260736408,33,Getir Online,1358.7,TRY,2025-01-30T21:41:54.107
260739938,90,Trendyol Online,508.41,TRY,2025-01-30T21:41:55.7
260740671,29,YS Online,642.34,TRY,2025-01-30T22:03:32.23
260741008,90,Trendyol Online,1269.23,TRY,2025-01-30T21:41:53.313
260741205,29,YS Online,403.66,TRY,2025-01-30T22:03:35.727
260742395,29,YS Online,992.54,TRY,2025-01-30T22:03:33.563
260743025,1,Nakit,349.6,TRY,2025-01-30T21:41:54.96
260746430,1,Nakit,300.0,TRY,2025-01-30T22:00:01.123
260746430,2,Kredi Kartı,300.0,TRY,2025-01-30T22:00:01.137
260746430,2,Kredi Kartı,300.0,TRY,2025-01-30T22:00:01.153
260747542,1,Nakit,814.23,TRY,2025-01-30T22:33:10.147
260747551,2,Kredi Kartı,852.32,TRY,2025-01-30T22:33:16.423
260749335,90,Trendyol Online,405.91,TRY,2025-01-30T22:33:08.803
260750466,3,Multinet,403.66,TRY,2025-01-30T22:33:11.683
260750865,29,YS Online,403.66,TRY,2025-01-30T22:33:12.66
260751709,2,Kredi Kartı,699.2,TRY,2025-01-30T22:18:28.867
260756661,33,Getir Online,1358.7,TRY,2025-01-30T22:43:25.793
260757469,569,Migros Online,404.9,TRY,2025-01-30T22:37:10.563
260757615,569,Migros Online,404.9,TRY,2025-01-30T22:37:47.687
260757956,1,Nakit,404.9,TRY,2025-01-30T22:37:50.847
260758316,2,Kredi Kartı,484.8,TRY,2025-01-30T22:38:26.077
260759079,33,Getir Online,314.7,TRY,2025-01-30T22:37:12.433
260761581,33,Getir Online,389.9,TRY,2025-01-30T23:04:32.637
260762224,1,Nakit,349.9,TRY,2025-01-30T23:08:51.393
260762224,2,Kredi Kartı,699.5,TRY,2025-01-30T23:08:51.407
260762389,29,YS Online,467.41,TRY,2025-01-30T23:04:31.147
260763512,90,Trendyol Online,842.82,TRY,2025-01-30T23:04:35.007
260763589,2,Kredi Kartı,1409.3,TRY,2025-01-30T22:37:55.97
260795084,33,Getir Online,389.9,TRY,2025-01-31T11:26:50.47
260795444,2,Kredi Kartı,926.33,TRY,2025-01-31T11:34:04.747
260797171,1,Nakit,1619.6,TRY,2025-01-31T11:57:36.073
260798091,90,Trendyol Online,855.32,TRY,2025-01-31T11:57:34.063
260799377,29,YS Online,463.16,TRY,2025-01-31T12:24:37.467
260800568,91,Pluxee (Sodexo) Pass Mobil,463.16,TRY,2025-01-31T12:24:39.143
260800978,91,Pluxee (Sodexo) Pass Mobil,402.07,TRY,2025-01-31T12:11:13.803
260802458,574,Multinet Online,429.66,TRY,2025-01-31T12:59:25.19
260802858,2,Kredi Kartı,1200.0,TRY,2025-01-31T20:36:21.527
260802858,604,Token Flex,359.6,TRY,2025-01-31T20:36:21.537
260803173,1,Nakit,790.33,TRY,2025-01-31T12:24:41.99
260807396,33,Getir Online,389.9,TRY,2025-01-31T12:59:25.917
260811191,90,Trendyol Online,396.41,TRY,2025-01-31T12:59:31.78
260813310,2,Kredi Kartı,1580.66,TRY,2025-01-31T12:59:34.11
260813369,41,Pluxee (Sodexo) Online,389.9,TRY,2025-01-31T13:31:42.9
260813414,26,Metropol,395.16,TRY,2025-01-31T12:59:35.643
260814964,574,Multinet Online,396.41,TRY,2025-01-31T12:59:32.647
260816954,33,Getir Online,409.7,TRY,2025-01-31T13:31:43.8
260821454,2,Kredi Kartı,395.16,TRY,2025-01-31T13:31:46.497
260822071,29,YS Online,587.78,TRY,2025-01-31T13:31:44.79
260822493,4,Smart Ticket,389.9,TRY,2025-01-31T13:31:45.55
